millis,Back Left, Back Right, Front Left, Front Right
5128, 16.30, 0.19, 0.45, -0.29
5133, 16.30, 0.22, 0.45, -0.29
5139, 16.30, 0.22, 0.53, -0.20
5144, 16.16, 0.33, 0.53, -0.20
5149, 16.16, 0.33, 0.61, 0.04
5154, 15.89, 0.33, 0.61, 0.04
5160, 15.89, 0.34, 0.79, 0.16
5166, 13.15, 0.34, 0.79, 0.16
5172, 13.15, 0.27, 0.89, 0.26
5177, 10.68, 0.27, 0.89, 0.26
5183, 10.68, 0.30, 0.94, 0.33
5188, 9.59, 0.30, 0.94, 0.33
5194, 9.59, 0.37, 0.91, 0.41
5202, 10.96, 0.46, 0.97, 0.41
5208, 10.96, 0.46, 0.97, 0.48
5213, 12.47, 0.46, 0.97, 0.48
5219, 12.47, 0.59, 0.93, 0.44
5224, 11.23, 0.59, 0.93, 0.44
5229, 11.23, 0.52, 0.90, 0.46
5234, 13.29, 0.52, 0.90, 0.46
5240, 13.29, 0.38, 0.89, 0.34
5245, 11.51, 0.38, 0.89, 0.34
5252, 11.51, 0.29, 0.70, 0.35
5257, 7.67, 0.29, 0.70, 0.35
5262, 7.67, 0.23, 0.72, 0.34
5267, 3.29, 0.23, 0.72, 0.34
5272, 3.29, 0.23, 0.85, 0.34
5277, 3.29, 0.23, 0.85, 0.29
5282, -0.68, 0.23, 0.86, 0.29
5287, -0.68, 0.19, 0.86, 0.34
5297, -2.74, 0.20, 0.89, 0.42
5302, -1.51, 0.20, 0.89, 0.42
5308, -1.51, 0.23, 0.94, 0.48
5313, -5.89, 0.23, 0.94, 0.48
5319, -5.89, 0.29, 1.16, 0.41
5324, -11.64, 0.29, 1.16, 0.41
5329, -11.64, 0.29, 1.28, 0.41
5335, -11.64, 0.41, 1.28, 0.49
5340, -10.96, 0.41, 1.39, 0.49
5346, -10.96, 0.45, 1.39, 0.50
5351, -8.36, 0.45, 1.35, 0.50
5356, -8.36, 0.41, 1.35, 0.35
5362, -6.44, 0.41, 1.27, 0.35
5367, -6.44, 0.52, 1.27, 0.26
5372, -3.70, 0.52, 1.28, 0.26
5378, -3.70, 0.55, 1.28, 0.10
5386, -2.33, 0.55, 1.38, 0.10
5391, -2.33, 0.44, 1.38, 0.00
5397, -3.29, 0.44, 1.50, 0.00
5402, -3.29, 0.31, 1.50, -0.08
5407, -9.18, 0.31, 1.46, -0.08
5413, -9.18, 0.18, 1.46, -0.20
5419, -14.93, 0.18, 1.50, -0.20
5424, -14.93, 0.15, 1.50, -0.20
5430, -11.78, 0.15, 1.72, -0.20
5435, -11.78, 0.11, 1.72, -0.23
5441, -13.15, 0.11, 2.01, -0.23
5446, -13.15, 0.10, 2.01, -0.22
5452, -16.99, 0.10, 2.09, -0.22
5457, -16.99, 0.12, 2.09, -0.29
5464, -13.97, 0.12, 2.01, -0.29
5469, -13.97, 0.12, 2.01, -0.23
5478, -11.51, 0.20, 1.87, -0.11
5484, -9.86, 0.27, 1.72, -0.11
5489, -9.86, 0.27, 1.72, -0.04
5495, -13.70, 0.29, 1.65, -0.04
5500, -13.70, 0.29, 1.65, -0.04
5507, -19.73, 0.27, 1.71, -0.04
5512, -19.73, 0.27, 1.71, 0.00
5518, -15.21, 0.37, 1.77, 0.00
5523, -15.21, 0.37, 1.77, 0.01
5529, -8.08, 0.38, 1.69, 0.01
5534, -8.08, 0.38, 1.69, -0.15
5540, -4.11, 0.40, 1.60, -0.15
5545, -4.11, 0.40, 1.60, -0.15
5551, -2.88, 0.31, 1.60, -0.25
5557, -2.88, 0.31, 1.72, -0.25
5563, -5.07, 0.26, 1.72, -0.22
5570, -5.07, 0.26, 1.91, -0.03
5576, -8.08, 0.27, 1.94, -0.03
5581, -8.08, 0.27, 1.94, 0.12
5587, -10.41, 0.31, 1.81, 0.12
5593, -10.41, 0.31, 1.81, 0.33
5599, -10.68, 0.52, 1.73, 0.33
5604, -10.68, 0.52, 1.73, 0.49
5610, -2.60, 0.68, 1.95, 0.49
5615, -2.60, 0.68, 1.95, 0.46
5620, 5.07, 0.79, 2.09, 0.46
5625, 5.07, 0.79, 2.09, 0.38
5630, 3.29, 0.79, 1.92, 0.38
5636, 3.29, 0.85, 1.92, 0.38
5641, 4.93, 0.85, 1.92, 0.33
5646, 4.93, 0.86, 1.69, 0.33
5652, 10.68, 0.86, 1.69, 0.26
5660, 10.68, 0.80, 1.58, 0.22
5665, 11.64, 0.80, 1.66, 0.22
5671, 11.64, 0.75, 1.66, 0.16
5677, 9.73, 0.75, 1.72, 0.16
